name,chinese,english
samplenew3_00000765,把我给抓回去那我就完了我肯定会受到责罚的,
samplenew3_00000501,这几年你知道我吃了多少苦承受了多大的压力知道吗,Do you know how much hardship and pressure I have endured in these years?
samplenew3_00000891,花有重开日,Flowers have a day to bloom again.
samplenew3_00000814,这不唯恐天下不乱吗,Isn't this just to make the world chaotic?
samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,"This mysterious adoptive father, I have never seen what he looks like."
samplenew3_00000665,我也应该用嘶哑的喉咙歌唱,I should also sing with a hoarse throat
samplenew3_00000668,我去你们这太不够意思了,You guys are not hospitable enough.
samplenew3_00000195,感动朕的人朕绝不轻饶,"The person who moves me, I will never forgive."
samplenew3_00000151,如果遇上了也没有办法,"If we meet, there's no way to handle it."
samplenew3_00000839,纯贵妃谋害契亚阁,The pure noble concubine plots to harm Qiya Pavilion.
samplenew3_00000579,徐江跟我的老公一直有矛盾他一直用一些卑鄙的低级的手段想把我们赶出市场所以他杀了我老公,"Xu Jiang has always had conflicts with my husband. He has been using despicable and low-level means to try to drive us out of the market, so he killed my husband."
samplenew3_00000294,这让我想起了聪明的衣袖,This reminds me of clever sleeves.
samplenew3_00000493,今后怎么样才是最重要的,What matters most in the future.
samplenew3_00000378,还有上个月在江州别扣他那批货,"There is also the batch of goods in Jiangzhou last month, don't deduct it from him."
samplenew3_00000548,会害了秋府上下所有的人,It will harm everyone in the Qiu Mansion.
samplenew3_00000425,只能让你眼睁睁看着他们受苦了,Just let you watch them suffer
samplenew3_00000513,我结下权贵之妻,I marry the wife of the powerful and influential.
samplenew3_00000084,别喝了好吗,Please don't drink anymore.
samplenew3_00000360,陈东拖了你们的后腿我们也感到很惭愧啊,Chen Dong dragging you guys down also makes us feel very ashamed.
samplenew3_00000723,哪像太子殿下您呢,How can anyone compare to Your Highness?
samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,They just need to commit the crime again to regain that kind of new excitement.
samplenew3_00000511,检方的量刑建议是死刑,The prosecutor's sentencing recommendation is death penalty.
samplenew3_00000261,小王爷何至于窝在寿春苟活,"Xiao Wangye, why do you have to hide in Shouchun and live in such a miserable way?"
samplenew3_00000432,哈洋郑一路那个商贸城,Ha Yang Zheng Yi Lu that commercial city
samplenew3_00000593,你不能随意出门,You cannot go out freely.
samplenew3_00000220,那不就是那电视剧那射雕英雄传里那梅超风,"Isn't that Mei Chaofeng from the TV series ""The Legend of the Condor Heroes""?"
samplenew3_00000500,要不然说林所长冰雪聪明的一点就透,"Otherwise, Director Lin is extremely clever."
samplenew3_00000605,说我捐的金额太少了,You say I donated too little.
samplenew3_00000447,这一看哪您这眼神就非常好,This look of yours is very good.
samplenew3_00000744,丁小河是个不会撒谎的人,Ding Xiahe is a person who does not lie.
samplenew3_00000340,对我天神朝堂也是如虎添翼之妙使啊,"To me, you are like a divine presence that adds wings to a tiger."
samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,"I will call me not Jiang Jiele's words, I will be careful, I will hit you and so on."
samplenew3_00000454,这个问题问得好很深刻回头,This question is asked very deeply and thoughtfully.
samplenew3_00000139,你跟建明到底想干什么呀你们,What do you and Jianming want to do?
samplenew3_00000827,你一直默默地照顾我的家,You have always silently taken care of my home.
samplenew3_00000367,有他在有如十万大,"With him, it's like having a hundred thousand people."
samplenew3_00000535,那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说,"After breaking through that year, I went to the Defense Bureau to look for you. The people at the Defense Bureau said you had been transferred. They asked me why I was looking for you, and I said..."
samplenew3_00000398,你有没有什么办法帮帮百姓,Do you have any way to help the people?
samplenew3_00000829,你要不是那块料啊他看都不会看你一眼,"If you weren't that kind of material, he wouldn't even look at you."
samplenew3_00000725,我李约是个爱才之人,"I, Li Yue, am a person who loves talents."
samplenew3_00000058,凭他的处境不妙,Given his situation is not good.
samplenew3_00000504,谢谢领导关心我一定把,"Thank you for caring about me, I will definitely do it."
samplenew3_00000482,他一定把名言送到你我手上,He will definitely deliver the famous saying to you and me.
samplenew3_00000803,此二人若勾结起来不知要做出多少祸国殃民的事来,"If these two people conspire together, I don't know how much harm they will cause to the country and the people."
samplenew3_00000467,他是不是成心跟咱俩较劲啊,Is he deliberately trying to compete with us?
samplenew3_00000496,我这是可以去福利院的,I can go to the welfare home.
samplenew3_00000455,不全是其实我们两个之间,Not all of it is actually between the two of us.
samplenew3_00000495,这一扇窗户怎么会有两种眼神,How can this window have two different expressions
samplenew3_00000602,你给我一个月我保证给你个惊喜什么惊喜,"You give me a month and I promise to give you a surprise, what surprise?"
samplenew3_00000821,我是店长镇主持,I am the manager of the store.
sample_00000227,那当然啦。,Of course.
sample_00000388,我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。,"I don't think I'm very important, I just don't understand why you hurt me like this."
sample_00000118,不能安置的呢？你让财务和人事部给我做一个补偿报告。,"For those who can't be resettled, let the finance and personnel department make a compensation report for me."
sample_00000073,好于小强，我今天把所有的事情，都跟你说清楚。,"well Yu Xiaoqiang, today I will explain everything to you."
sample_00000365,你让我相信你，我相信了，那你为什么要骗我呢？,"You make me believe in you, I believed, so why did you deceive me?"
sample_00000361,男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。,"I understand the mindset of a man, what is too easily obtained is not easily cherished. Don't look back one day, wave your hand, without taking away a single cloud."
sample_00000126,一个人死了，非得找出谁的错，否则就不能安慰逝去的灵魂。我们的医学，什么时候沦落到替罪羊的地步？我们一线的医师，什么时候变得这么地胆怯。,"Someone died, and we have to find out whose fault it is, otherwise we cannot comfort the departed soul. When did our medicine fall to the point of scapegoating? When did our frontline doctors become so timid?"
sample_00000055,让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。,"The patient's weakened heart has been temporarily relieved, but this machine is not widely used."
sample_00000225,你确定他们俩之前也没好过吗？,Are you sure they haven't dated before?
sample_00000240,真猛啊！这罪你都受得起！,"Wow, you're really tough! You can handle this punishment!"
sample_00000258,,
sample_00000215,好说。,This matter is easy to handle.
sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,"It's not that, I just feel like, you know, she's not as cute and innocent as when we first met."
sample_00000218,这不是三十八度还没到吗？三十八度才算烧呢，我这去不是让人笑话吗？,"Isn't it thirty eight degrees that hasn't arrived yet? Thirty eight degrees is considered a fever, isn't it funny when I go here?"
sample_00000209,爸爸要回来了,Daddy is coming home.
sample_00000256,如果我当时知道实情，我是不会离开美国的。,"If I had known the truth at that time, I wouldn't have left the United States."
sample_00000166,啊？我...,Ah? I...
sample_00000033,你明知道龙舟队的队员现在都还是群菜鸟，就这么一群菜鸟怎么可能赢得比赛呀。,"You know that the members of the Dragon Boat Team are still a group of rookies, how could such a group of rookies win the competition."
sample_00000406,我在想，会不会是奇点有主啊？,I'm wondering if QiDian has a partner.
sample_00000153,白总监，你也关注这件事啊！,"Director Bai, you're also paying attention to this matter!"
sample_00000346,孩子和女人你要哪一个？,"Which one do you want, the child or the woman?"
sample_00000021,你是真心愿意跟小川在一起？,Are you really willing to be with Xiaochuan?
sample_00000203,她是我爸的大姑，奶奶一辈子没结婚。,"She is my father's aunt, and my grandmother never got married in her whole life."
sample_00000294,前些天，你不是给他介绍了个对象吗？,"A few days ago, didn't you introduce a potential partner to him?"
sample_00000342,郝志，你不会是那个阜外医院的郝志？,"Hao Zhi, are you the Hao Zhi from Fuwai Hospital?"
sample_00000246,安迪，我觉得你状态不对啊。,"Andy, I think you're not in the right state."
sample_00000039,我告诉你，曹小强，我现在跟你结婚。,"I tell you, Cao Xiaoqiang, I am marrying you now."
sample_00000353,武然，明天呢？就要做手术了。,"Wuran, I'm going to have surgery tomorrow."
sample_00000368,你是谁？,Who are you?
sample_00000278,不客气，好饿啊，我们还是叫外卖吧。,"You're welcome, I'm so hungry, let's order takeout."
sample_00000385,很酷吧。,"Cool, right?"
sample_00000407,是的，我恨他。,"Yes, I hate him."
sample_00000296,我想跟你说什么呀，我想说你太没有人性了，秦招妹哪点对不起你，为了你的破五百万，差不点连命都丢了，跟我来到新加坡，你就这么对她。,"What do I want to say to you? I want to say that you are so heartless. What did Qin Zhaomei do wrong to you? For your measly five million, she came to Singapore with me and almost lost her life, and you treated her just like this."
sample_00000276,,
sample_00000363,我昨天晚上回来得晚，没有吵到你们吧。,I came back late last night. I hope I didn't disturb you.
sample_00000393,是不是蔡微澜的电话？三更半夜去找他干什么？,Is it Cai Weilan's phone number? What are you going to do with him in the middle of the night?
sample_00000070,难道你没有结过婚？,Haven't you ever been married?
sample_00000325,我们俩刚才使劲大吵了一架，我男朋友把我推在地上。,"We just had a big fight, and my boyfriend pushed me to the ground."
sample_00000114,行行行行行行行，不过我丑话说在前头啊，如果你影响进度了，我想加谁进来。,"Okay, okay, okay, okay, okay, okay, okay. But let me be clear, if you slow down the progress, I will consider adding someone else."
sample_00000176,所以我怕，你知道我的真实身份以后，我们反而会产生距离感。,"So I'm afraid that after you know my true identity, we will  create a sense of distance."
sample_00000007,那就不见不散了啊，哎，好，再见。,"Be there or be square. Oh, okay, goodbye."
sample_00000220,啊,Ah
sample_00000174,什么？,What?
sample_00000000,我哪知道啊！我，我，我也没有这方面的经验。,"I don't know! I, I, I don't have experience in this area."
sample_00000208,伯母好。,"Hello, aunt."
sample_00000370,算了吧，在这些人眼里，我只是他们的赚钱机器。,"Forget it, in their eyes, I'm just their money-making machine."
sample_00000213,问你有用吗？你有准备好当爸爸吗？罗一洋。,Is it useful to ask you? Are you ready to be a father? Luo Yiyang.
sample_00000420,看书，他也得认字啊！电影，文盲都能坐那儿乐，跟你们有一拼的是相声。,"But books require literacy.  Even an illiterate can enjoy a film, right?  Your competitor is cross talk."
sample_00000338,糟了，我手机、钱包都在包里呢。,"Oh no, my phone and wallet are both in the bag."
sample_00000068,你们老方家不能把我扫地出门啊。,The Fang's family can't sweep me out of the house.
